"sep=,"
Tyrimo_failai/Diffusion_simple_math_problems(50)/Simple_math_problems.txt
Target file,Tyrimo_failai/Diffusion_simple_math_problems(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,80.10,39.38,94.28,82.10,74.59,68.00,76.83,82.00,82.00,81.48,81.48,85.43
Averages,75.04,42.90,57.91,81.42,64.74,69.42,73.19,78.32,78.32,75.71,75.71,89.61
1,86.36,37.50,54.77,88.95,78.79,80.00,83.33,91.43,91.43,88.89,88.89,96.60
2,88.00,71.43,83.33,92.58,75.68,85.71,85.00,92.31,92.31,90.00,90.00,96.95
3,80.00,33.33,50.00,89.47,84.44,80.95,83.33,89.36,89.36,87.50,87.50,95.76
4,76.00,37.50,54.77,76.60,66.67,61.90,71.43,78.05,78.05,76.19,76.19,91.24
5,81.48,33.33,50.00,87.67,76.19,77.78,77.27,86.36,86.36,86.36,86.36,90.91
6,56.25,11.11,20.41,57.14,31.58,40.00,54.55,57.14,57.14,54.55,54.55,71.52
7,78.95,42.86,60.00,87.04,69.23,76.92,73.33,78.57,78.57,73.33,73.33,91.59
8,84.62,50.00,54.43,82.81,71.79,70.59,80.95,82.93,82.93,80.95,80.95,93.19
9,66.67,37.50,57.74,80.40,58.82,66.67,61.11,72.22,72.22,72.22,72.22,89.68
10,75.00,37.50,44.72,80.06,45.71,66.67,70.00,75.68,75.68,70.00,70.00,90.47
11,70.37,37.50,54.77,74.32,60.47,59.09,65.22,71.11,71.11,69.57,69.57,88.46
12,71.43,44.44,61.72,84.89,59.09,73.68,69.57,78.26,78.26,78.26,78.26,86.65
13,85.19,55.56,71.43,83.91,68.29,72.22,81.82,83.72,83.72,81.82,81.82,93.51
14,92.59,75.00,85.71,96.82,85.00,93.75,90.91,95.24,95.24,90.91,90.91,98.18
15,77.27,57.14,73.03,88.07,70.97,78.57,76.47,84.85,84.85,82.35,82.35,95.06
16,89.29,75.00,85.71,87.67,74.42,77.78,86.96,88.89,88.89,86.96,86.96,95.57
17,68.00,37.50,54.77,81.41,56.41,68.42,68.18,73.17,73.17,68.18,68.18,90.14
18,64.00,25.00,30.86,75.00,57.89,60.00,66.67,70.00,70.00,66.67,66.67,88.07
19,63.64,12.50,17.68,77.46,41.18,63.16,57.89,66.67,66.67,63.16,63.16,66.80
20,61.11,28.57,44.72,77.15,56.00,62.50,64.29,74.07,74.07,71.43,71.43,89.67
21,64.29,40.00,57.74,73.79,52.63,58.33,63.64,66.67,66.67,63.64,63.64,86.73
22,53.33,20.00,33.33,63.25,45.45,46.15,46.15,50.00,50.00,46.15,46.15,66.90
23,79.17,37.50,54.77,86.60,64.71,75.00,75.00,83.33,83.33,75.00,75.00,93.75
24,78.26,37.50,54.77,78.77,54.55,64.71,73.68,80.00,80.00,73.68,73.68,92.24
25,84.62,40.00,57.14,86.67,68.29,76.47,81.82,83.72,83.72,81.82,81.82,91.16
26,81.82,28.57,44.72,87.67,76.47,77.78,84.21,88.89,88.89,84.21,84.21,95.67
27,83.33,50.00,66.67,84.89,63.16,73.68,80.00,85.00,85.00,85.00,85.00,94.00
28,64.00,37.50,54.77,66.82,51.28,50.00,57.14,58.54,58.54,57.14,57.14,83.43
29,76.19,33.33,50.00,81.25,64.71,68.42,72.22,83.33,83.33,83.33,83.33,93.33
30,54.55,33.33,51.64,74.85,57.14,57.89,63.16,64.86,64.86,63.16,63.16,85.96
31,80.77,71.43,83.33,82.35,70.00,70.00,85.71,85.71,85.71,85.71,85.71,90.48
32,79.17,42.86,75.00,90.37,64.86,82.35,80.00,82.05,82.05,80.00,80.00,92.84
33,80.49,50.00,75.00,80.02,64.62,66.67,79.41,80.60,80.60,79.41,79.41,92.25
34,57.89,14.29,25.00,72.06,50.00,56.25,52.94,60.00,60.00,52.94,52.94,66.92
35,52.94,33.33,51.64,59.16,43.48,41.18,46.67,56.00,56.00,46.67,46.67,83.33
36,71.43,40.00,52.41,85.75,68.29,75.00,72.73,79.07,79.07,77.27,77.27,87.53
37,73.68,20.00,33.33,78.33,73.33,64.29,75.00,81.25,81.25,81.25,81.25,92.50
38,50.00,37.50,54.77,75.91,48.65,61.11,50.00,56.41,56.41,55.00,55.00,82.07
39,84.00,55.56,71.43,89.44,75.00,80.00,80.95,85.71,85.71,85.71,85.71,90.40
40,70.00,40.00,57.14,90.37,66.67,82.35,70.83,80.85,80.85,79.17,79.17,92.90
41,76.00,44.44,61.72,70.71,61.54,54.55,71.43,73.17,73.17,71.43,71.43,89.29
42,87.18,63.64,67.36,86.45,74.58,76.00,84.38,88.52,88.52,84.38,84.38,95.50
43,66.67,44.44,61.72,78.82,59.46,65.00,70.00,82.05,82.05,80.00,80.00,92.84
44,65.38,37.50,54.77,66.70,55.00,50.00,59.09,61.90,61.90,59.09,59.09,84.82
45,86.49,80.00,86.60,92.71,77.78,86.36,83.33,89.29,89.29,83.33,83.33,95.90
46,70.59,50.00,66.67,70.00,69.23,53.85,71.43,71.43,71.43,71.43,71.43,88.57
47,82.14,33.33,50.00,86.67,69.77,76.47,82.61,84.44,84.44,82.61,82.61,89.66
48,90.48,60.00,75.00,96.61,81.25,93.33,88.89,94.12,94.12,88.89,88.89,94.03
49,95.45,71.43,83.33,91.67,87.50,84.62,94.12,94.12,94.12,94.12,94.12,97.65
50,95.65,57.14,73.03,92.86,88.89,86.67,94.74,94.74,94.74,94.74,94.74,97.89
