Tyrimo_failai/GPT4_text_problems(50)/Text_problems.txt;;;;;;;;;;;;
Target file;Tyrimo_failai/GPT4_text_problems(50)/Gemini_Answers_2024_05_21_10_07_51.txt;;;;;;;;;;;
;;;;;;;;;;;;
;levenshtein;jaccard;cosine;npm_cosine;npm_diceCoefficient;npm_jaccardIndex;npm_levenshtein;npm_lcs;npm_longestCommonSubsequence;npm_mlcs;npm_metricLcs;npm_jaroWinkler
Files;15.78;51.60;1.14;86.34;48.50;74.55;67.46;43.96;43.96;30.60;30.60;46.83
Averages;59.04;58.14;72.86;94.30;72.44;90.91;70.49;77.35;77.35;73.29;73.29;84.94
1;85.40;61.54;83.33;97.89;82.13;95.83;84.40;89.95;89.95;86.24;86.24;90.25
2;67.26;63.16;77.46;89.87;67.86;80.77;67.02;78.82;78.82;71.28;71.28;89.27
3;88.04;58.82;82.69;93.64;87.07;88.00;89.47;92.62;92.62;90.79;90.79;92.31
4;57.05;50.00;75.41;97.80;72.48;95.65;56.14;70.00;70.00;67.54;67.54;87.93
5;63.83;56.25;75.80;94.36;69.96;89.29;63.16;74.72;74.72;65.13;65.13;86.38
6;57.66;54.17;78.17;92.58;80.00;85.71;58.14;76.65;76.65;74.42;74.42;87.16
7;69.38;48.39;69.23;94.14;71.90;88.89;67.44;77.05;77.05;72.87;72.87;88.28
8;57.02;84.21;92.23;98.06;88.89;96.15;85.71;92.15;92.15;89.80;89.80;83.99
9;18.18;26.09;57.02;96.23;56.57;92.59;47.62;64.82;64.82;55.78;55.78;75.50
10;19.91;60.00;72.30;96.23;71.86;92.59;56.47;73.40;73.40;64.12;64.12;82.35
11;67.63;53.33;74.67;100.00;78.90;100.00;66.07;79.09;79.09;77.68;77.68;88.28
12;0.43;60.87;0.06;95.55;1.47;91.30;74.36;1.56;1.56;0.79;0.79;51.26
13;58.28;56.00;81.92;97.98;71.64;96.00;60.83;73.89;73.89;62.50;62.50;86.97
14;73.50;46.15;76.07;98.06;74.25;96.15;71.74;84.02;84.02;77.17;77.17;87.40
15;76.47;65.22;82.32;95.74;82.35;91.67;75.95;86.45;86.45;84.81;84.81;91.03
16;56.49;67.86;75.71;92.66;69.92;86.21;54.84;72.58;72.58;72.58;72.58;85.87
17;60.67;61.54;85.05;92.38;71.84;85.71;58.33;72.87;72.87;62.50;62.50;85.31
18;15.63;59.46;72.93;98.20;80.00;96.43;63.92;75.57;75.57;73.42;73.42;83.52
19;81.41;65.38;85.49;98.20;83.54;96.43;80.31;87.03;87.03;81.89;81.89;91.51
20;81.51;68.97;83.67;98.13;83.19;96.30;81.36;87.72;87.72;84.75;84.75;89.69
21;60.47;44.00;63.60;91.67;64.95;84.62;59.22;71.43;71.43;67.96;67.96;87.47
22;62.10;44.83;66.68;95.74;67.66;91.67;61.76;73.89;73.89;73.53;73.53;87.38
23;91.43;100.00;100.00;100.00;94.34;100.00;96.43;98.18;98.18;96.43;96.43;99.29
24;91.67;72.22;93.44;97.59;87.65;95.24;91.57;92.68;92.68;91.57;91.57;91.95
25;80.72;88.89;93.61;97.89;86.92;95.83;82.61;90.08;90.08;85.51;85.51;88.87
26;74.69;59.26;76.14;100.00;80.99;100.00;73.48;83.61;83.61;77.27;77.27;89.47
27;60.17;31.37;53.98;84.98;66.06;72.22;62.43;75.30;75.30;66.14;66.14;78.97
28;70.49;56.00;73.95;100.00;72.32;100.00;69.39;79.33;79.33;72.45;72.45;87.19
29;63.12;54.84;71.68;98.13;72.07;96.30;60.00;75.00;75.00;73.04;73.04;89.59
30;68.55;42.86;57.01;93.64;67.03;88.00;67.65;78.07;78.07;71.57;71.57;87.16
31;17.73;69.23;86.26;96.43;83.26;93.10;75.65;85.20;85.20;82.61;82.61;88.05
32;26.15;69.23;76.47;97.70;73.47;95.45;78.43;86.00;86.00;84.31;84.31;84.99
33;83.08;71.43;73.99;100.00;76.47;100.00;81.13;84.62;84.62;83.02;83.02;91.52
34;80.65;91.67;91.33;100.00;84.66;100.00;80.00;87.96;87.96;80.00;80.00;93.37
35;90.43;73.68;84.97;100.00;87.25;100.00;90.79;94.04;94.04;93.42;93.42;90.79
36;88.89;61.11;79.06;98.13;89.39;96.30;89.55;94.03;94.03;94.03;94.03;90.63
37;87.80;76.47;88.89;98.06;92.54;96.15;92.65;95.59;95.59;95.59;95.59;93.31
38;86.49;61.11;68.88;97.70;81.03;95.45;86.67;88.14;88.14;86.67;86.67;90.28
39;21.32;42.42;73.88;94.56;59.69;89.66;52.83;64.25;64.25;58.49;58.49;78.42
40;69.44;56.00;68.00;96.08;74.70;92.31;70.11;79.76;79.76;77.01;77.01;87.82
41;18.12;48.39;76.38;97.89;71.03;95.83;61.16;73.15;73.15;65.29;65.29;81.92
42;67.15;62.07;74.93;96.30;67.66;92.86;66.36;77.83;77.83;71.82;71.82;86.97
43;69.44;65.00;82.37;93.64;74.12;88.00;68.54;81.40;81.40;78.65;78.65;88.12
44;0.00;0.00;0.00;0.00;0.00;0.00;75.00;0.00;0.00;0.00;0.00;0.00
45;71.56;69.57;74.23;96.00;69.62;92.31;70.45;80.00;80.00;72.73;72.73;87.57
46;61.76;77.42;84.15;96.43;75.56;93.10;65.22;78.68;78.68;77.54;77.54;89.38
47;15.20;47.62;69.71;92.07;66.34;85.19;66.36;74.51;74.51;71.03;71.03;77.57
48;12.00;29.63;55.63;97.89;62.56;95.83;60.75;75.12;75.12;74.77;74.77;82.56
49;46.58;31.43;41.63;95.92;62.04;92.00;45.76;66.97;66.97;61.86;61.86;86.62
50;59.12;41.67;60.85;92.66;64.60;86.21;59.38;71.93;71.93;64.06;64.06;85.32
