Tyrimo_failai/Offline_written_math_text_problems(50)/Text_problems.txt;;;;;;;;;;;;
Target file;Tyrimo_failai/Offline_written_math_text_problems(50)/Gemini_Answers_2024_05_21_10_07_51.txt;;;;;;;;;;;
;;;;;;;;;;;;
;levenshtein;jaccard;cosine;npm_cosine;npm_diceCoefficient;npm_jaccardIndex;npm_levenshtein;npm_lcs;npm_longestCommonSubsequence;npm_mlcs;npm_metricLcs;npm_jaroWinkler
Files;40.00;79.69;54.80;97.65;58.76;95.35;91.32;59.47;59.47;43.45;43.45;65.66
Averages;89.04;81.22;88.27;94.37;88.09;91.23;91.22;90.64;90.64;89.25;89.25;91.61
1;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2;99.12;88.24;96.67;98.06;97.85;96.15;98.94;98.94;98.94;98.94;98.94;99.57
3;98.86;85.71;95.83;97.89;97.22;95.83;98.63;98.63;98.63;98.63;98.63;99.45
4;97.01;87.50;81.84;95.55;92.82;91.30;96.23;96.68;96.68;96.23;96.23;94.75
5;97.84;91.67;97.56;98.13;96.86;96.30;97.35;97.78;97.78;97.35;97.35;96.94
6;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
7;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
8;96.69;94.12;97.73;97.98;96.37;96.00;95.92;96.41;96.41;95.92;95.92;96.01
9;99.25;92.00;97.87;98.13;98.10;96.30;99.06;99.06;99.06;99.06;99.06;99.62
10;98.72;83.33;95.65;96.00;96.83;92.31;98.43;98.43;98.43;98.43;98.43;97.37
11;99.28;91.67;97.37;100.00;99.55;100.00;99.11;99.55;99.55;99.11;99.11;91.80
12;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
13;96.03;83.33;95.96;93.81;94.51;88.00;95.83;97.07;97.07;96.67;96.67;98.05
14;96.91;89.47;96.30;97.98;95.36;96.00;96.10;96.73;96.73;96.10;96.10;97.61
15;97.92;90.00;96.00;93.64;95.30;88.00;97.37;98.01;98.01;97.37;97.37;99.21
16;96.67;80.00;93.34;92.31;95.47;85.71;95.97;97.14;97.14;95.97;95.97;98.86
17;99.44;100.00;100.00;98.13;98.95;96.30;99.31;99.65;99.65;99.31;99.31;99.86
18;99.48;93.33;97.96;96.43;98.73;93.10;99.37;99.37;99.37;99.37;99.37;99.75
19;56.52;23.33;28.46;90.27;51.55;81.48;54.46;64.29;64.29;56.25;56.25;69.42
20;49.32;40.63;70.37;92.38;63.46;85.71;46.61;60.00;60.00;53.39;53.39;73.28
21;57.36;43.48;59.26;82.69;52.07;70.37;53.40;64.33;64.33;53.40;53.40;67.44
22;57.26;39.29;57.31;88.07;56.54;78.57;54.90;66.32;66.32;62.75;62.75;68.86
23;70.59;40.00;57.74;85.20;63.83;73.68;70.37;81.63;81.63;74.07;74.07;91.00
24;62.96;57.89;82.62;87.83;66.67;78.26;61.45;74.29;74.29;62.65;62.65;83.63
25;1.53;34.62;80.57;93.54;2.69;87.50;36.29;3.67;3.67;1.87;1.87;50.38
26;99.38;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
27;99.42;100.00;100.00;100.00;98.94;100.00;99.30;99.65;99.65;99.30;99.30;98.45
28;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00
29;98.58;91.67;97.67;96.15;97.37;92.59;98.26;98.26;98.26;98.26;98.26;98.95
30;93.55;74.07;75.49;95.83;90.00;92.00;93.14;96.04;96.04;95.10;95.10;88.71
31;92.91;74.07;91.36;100.00;90.75;100.00;92.17;93.45;93.45;93.04;93.04;91.29
32;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
33;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
34;98.40;83.33;97.62;93.36;97.61;87.50;98.11;98.58;98.58;98.11;98.11;99.43
35;98.94;88.24;96.00;100.00;97.33;100.00;98.68;98.68;98.68;98.68;98.68;88.81
36;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
37;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
38;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
39;96.32;88.00;96.43;98.20;95.15;96.43;96.23;98.08;98.08;96.23;96.23;97.68
40;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
41;97.99;100.00;100.00;97.89;97.48;95.83;98.35;99.17;99.17;98.35;98.35;99.67
42;99.27;91.67;97.37;96.30;98.17;92.86;99.09;99.09;99.09;99.09;99.09;99.64
43;96.30;75.00;90.58;96.08;93.18;92.31;95.51;96.63;96.63;96.63;96.63;83.41
44;94.69;86.96;93.90;92.92;92.74;86.67;95.65;97.24;97.24;95.65;95.65;98.91
45;95.41;86.36;93.60;95.92;93.02;92.00;94.32;96.55;96.55;95.45;95.45;95.29
46;99.41;100.00;100.00;98.20;98.90;96.43;99.28;99.64;99.64;99.28;99.28;99.86
47;92.80;53.33;59.63;97.89;87.08;95.83;91.59;95.73;95.73;94.39;94.39;98.86
48;98.40;88.89;96.15;100.00;97.14;100.00;98.11;99.06;99.06;99.06;99.06;99.81
49;93.84;92.00;87.53;100.00;90.04;100.00;92.37;95.28;95.28;94.07;94.07;94.29
50;77.87;57.69;64.00;85.59;78.72;74.07;76.00;83.16;83.16;79.00;79.00;74.78
